,ID,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Year
2681,12929,FPQ-4587,SCMS-58380,ASN-5901,Kenya,PMO - US,Direct Drop,EXW,Air,11/18/2009,2009-12-02,16-Feb-10,19-Feb-10,19-Feb-10,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,100,1,80.0,80.0,0.8,Inverness Japan,Yes,1028,10083.69,0.17,2009
2682,12935,FPQ-12051,SCMS-188650,ASN-23215,Vietnam,PMO - US,Direct Drop,EXW,Air,5/3/2013,2013-05-15,9-Jan-14,9-Jan-14,9-Jan-14,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,60,11092,74871.0,6.75,0.11,Mylan (formerly Matrix) Nashik,Yes,957,1869.41,92.62,2013
2683,12959,FPQ-14827,SCMS-256500,ASN-31164,Zambia,PMO - US,Direct Drop,EXW,Air,8/19/2014,2014-09-19,12-May-15,12-May-15,14-May-15,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,100,6280,502400.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,2548,28709.52,516.47,2014
2684,12973,FPQ-9066,SCMS-138620,ASN-14950,Haiti,PMO - US,Direct Drop,EXW,Air,1/6/2012,2012-02-24,12-Jun-12,12-Jun-12,12-Jun-12,ARV,Pediatric,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 30/50/6mg, dispersible tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,60,298,685.4,2.3,0.04,"Cipla, Goa, India",Yes,21,304.62,0.96,2012
2685,12981,FPQ-11754,SCMS-181400,ASN-19428,South Sudan,PMO - US,Direct Drop,EXW,Air,2/22/2013,2013-04-01,16-Aug-13,16-Aug-13,16-Aug-13,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,100,90,8010.0,89.0,0.89,"Alere Medical Co., Ltd.",Yes,39,1434.98,9.91,2013
2686,13004,FPQ-15276,SCMS-263040,ASN-31553,Mozambique,PMO - US,Direct Drop,FCA,Air,10/28/2014,2014-11-07,15-Apr-15,15-Apr-15,15-Apr-15,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], film coated tablets, 60 Tabs",Ritonavir,Norvir,60,400,2740.0,6.85,0.11,ABBVIE Ludwigshafen Germany,Yes,62,642.99,3.22,2014
2687,13007,FPQ-11670,SCMS-179360,ASN-19161,Burundi,PMO - US,Direct Drop,EXW,Air,2/20/2013,2013-03-14,10-Jun-13,10-Jun-13,10-Jun-13,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,100,1468,117440.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,638,12922.07,145.27,2013
2688,13016,FPQ-9231,SCMS-141760,ASN-14830,Burundi,PMO - US,Direct Drop,EXW,Air,2/17/2012,2012-04-09,1-Jun-12,1-Jun-12,1-Jun-12,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak Dipstick Assay Kit, 30 Tests","HIV 1/2, Stat-Pak Dipstick Assay Kit",Stat-Pak,30,305,7777.5,25.5,0.85,Chembio Diagnostics Sys. Inc.,Yes,34,836.8,10.9,2012
2689,13020,FPQ-8671,SCMS-131040,ASN-13448,Haiti,PMO - US,Direct Drop,EXW,Air,11/9/2011,2011-12-29,30-Jan-12,30-Jan-12,30-Jan-12,MRDT,Malaria,Premier Medical Corporation Ltd.,"Malaria Antigen P.f Kit, 30 x 1 Test","Malaria Antigen P.f Kit, 30 x 1 Test",Generic,30,3,49.5,16.5,0.55,Premier Medical Corporation,Yes,1,969.55,0.07,2011
2690,13027,FPQ-13524,SCMS-226220,ASN-26923,Vietnam,PMO - US,Direct Drop,EXW,Air,2/6/2014,2014-03-10,29-Jul-14,29-Jul-14,6-Aug-14,ARV,Adult,HETERO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,30,5300,18550.0,3.5,0.12,Hetero Unit III Hyderabad IN,Yes,2922,5616.02,19.07,2014
